loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,fico_score,month_of_year,ratio_loan_amnt_annual_inc,ratio_open_acc_total_acc,month_since_earliest_cr_line,ratio_pub_rec_month_since_earliest_cr_line,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,ratio_pub_rec_bankruptcies_pub_rec,charged_off
28000.0,36.0,8.9,889.09,4.0,7.0,0.0,110000.0,1.0,0.0,2.26,5.0,0.0,14930.0,2.9,21.0,1.0,0.0,4.0,0.0,802.0,2.0,0.2545454545454545,0.238095238095238,226.0,0.0,0.0,-1.0,1
10000.0,36.0,14.65,344.95,11.0,10.0,2.0,56000.0,0.0,0.0,16.35,7.0,0.0,8362.0,68.4,15.0,1.0,0.0,0.0,0.0,682.0,2.0,0.1785714285714285,0.4666666666666667,198.0,0.0,0.0,-1.0,0
25000.0,36.0,13.11,843.68,8.0,3.0,1.0,65000.0,2.0,0.0,11.77,8.0,0.0,24589.0,80.9,22.0,1.0,0.0,0.0,0.0,707.0,3.0,0.3846153846153846,0.3636363636363636,106.0,0.0,0.0,-1.0,0
10000.0,36.0,12.12,332.72,7.0,6.0,1.0,97000.0,1.0,4.0,2.89,13.0,0.0,9064.0,37.9,20.0,1.0,0.0,0.0,0.0,697.0,3.0,0.1030927835051546,0.65,117.0,0.0,0.0,-1.0,0
10000.0,36.0,13.67,340.18,9.0,7.0,1.0,65000.0,0.0,4.0,20.64,12.0,0.0,12974.0,75.0,21.0,1.0,0.0,0.0,0.0,692.0,3.0,0.1538461538461538,0.5714285714285714,327.0,0.0,0.0,-1.0,0
32000.0,60.0,12.12,713.77,7.0,10.0,1.0,109860.0,1.0,0.0,17.97,10.0,0.0,23301.0,71.5,28.0,1.0,0.0,3.0,0.0,747.0,3.0,0.2912798106681231,0.3571428571428571,219.0,0.0,0.0,-1.0,1
15000.0,36.0,7.62,467.43,2.0,10.0,2.0,60000.0,0.0,0.0,8.02,9.0,0.0,32138.0,60.3,14.0,1.0,0.0,1.0,0.0,762.0,3.0,0.25,0.6428571428571429,316.0,0.0,0.0,-1.0,0
5400.0,36.0,12.12,179.67,7.0,1.0,1.0,60000.0,1.0,4.0,17.72,8.0,0.0,4907.0,66.3,9.0,1.0,0.0,0.0,0.0,692.0,3.0,0.09,0.8888888888888888,54.0,0.0,0.0,-1.0,0
13000.0,36.0,12.12,432.54,7.0,7.0,1.0,42000.0,0.0,4.0,22.83,12.0,0.0,13108.0,60.7,26.0,1.0,0.0,0.0,0.0,697.0,3.0,0.3095238095238095,0.4615384615384615,206.0,0.0,0.0,-1.0,1
9800.0,36.0,8.9,311.19,4.0,2.0,2.0,24000.0,1.0,0.0,21.25,7.0,0.0,12715.0,94.2,14.0,1.0,0.0,0.0,0.0,732.0,3.0,0.4083333333333333,0.5,142.0,0.0,0.0,-1.0,0
18000.0,36.0,13.67,612.32,9.0,3.0,1.0,65000.0,0.0,0.0,12.11,8.0,0.0,16914.0,67.2,8.0,1.0,0.0,0.0,0.0,687.0,3.0,0.2769230769230769,1.0,86.0,0.0,0.0,-1.0,0
12000.0,36.0,13.67,408.22,9.0,9.0,1.0,40000.0,1.0,4.0,23.91,8.0,0.0,12635.0,84.2,10.0,1.0,0.0,0.0,0.0,677.0,3.0,0.3,0.8,136.0,0.0,0.0,-1.0,0
15000.0,36.0,16.29,529.51,14.0,10.0,1.0,50000.0,0.0,0.0,19.51,12.0,0.0,26757.0,78.0,17.0,1.0,0.0,0.0,0.0,677.0,3.0,0.3,0.7058823529411765,200.0,0.0,0.0,-1.0,0
18000.0,36.0,12.12,598.89,7.0,6.0,1.0,40000.0,2.0,4.0,20.09,10.0,0.0,8343.0,75.8,16.0,1.0,0.0,0.0,0.0,702.0,4.0,0.45,0.625,192.0,0.0,0.0,-1.0,0
16800.0,60.0,20.99,454.41,22.0,0.0,1.0,70000.0,0.0,12.0,7.2,12.0,0.0,8336.0,61.9,17.0,1.0,0.0,0.0,0.0,667.0,4.0,0.24,0.7058823529411765,88.0,0.0,0.0,-1.0,1
10000.0,36.0,9.76,321.55,5.0,3.0,0.0,40000.0,1.0,2.0,14.34,13.0,0.0,7961.0,28.9,21.0,1.0,0.0,1.0,0.0,732.0,4.0,0.25,0.6190476190476191,66.0,0.0,0.0,-1.0,1
2500.0,36.0,10.74,81.54,6.0,10.0,1.0,34000.0,1.0,0.0,23.4,9.0,1.0,1243.0,20.4,15.0,1.0,0.0,0.0,1.0,702.0,4.0,0.0735294117647058,0.6,146.0,0.0068493150684931,0.0068493150684931,1.0,1
11875.0,36.0,14.65,409.62,11.0,2.0,1.0,60000.0,0.0,0.0,7.36,8.0,0.0,13116.0,70.5,9.0,1.0,0.0,0.0,0.0,677.0,4.0,0.1979166666666666,0.8888888888888888,95.0,0.0,0.0,-1.0,0
5400.0,36.0,13.67,183.7,9.0,10.0,1.0,85000.0,1.0,0.0,24.82,10.0,0.0,4292.0,89.4,19.0,1.0,0.0,1.0,0.0,687.0,4.0,0.0635294117647058,0.5263157894736842,128.0,0.0,0.0,-1.0,0
6000.0,36.0,12.12,199.63,7.0,2.0,0.0,60000.0,0.0,4.0,18.76,13.0,0.0,20697.0,78.7,27.0,1.0,0.0,1.0,0.0,697.0,4.0,0.1,0.4814814814814814,230.0,0.0,0.0,-1.0,0
11500.0,36.0,13.99,392.99,10.0,10.0,1.0,24000.0,1.0,0.0,22.55,8.0,0.0,8036.0,53.2,10.0,1.0,0.0,0.0,0.0,687.0,4.0,0.4791666666666667,0.8,100.0,0.0,0.0,-1.0,0
